[2022-06-16 14:45:28] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught SyntaxError: Unexpected end of input] 	 [/SyntaxError: Unexpected end of input] 	 [1]
[2022-06-16 14:45:28] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught SyntaxError: Unexpected end of input] 	 [/SyntaxError: Unexpected end of input] 	 [1]
[2022-06-16 14:45:28] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught SyntaxError: Unexpected end of input] 	 [/SyntaxError: Unexpected end of input] 	 [1]
[2022-06-16 14:45:28] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-16 14:50:18] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-16 14:50:19] 	 [user: testMail] 	 [staff user: admin] [] 	 [Uncaught Error: 𓂸] 	 [/Error: 𓂸] 	 [1]
[2022-06-16 14:50:57] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-16 14:50:58] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-16 14:50:58] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-16 14:50:59] 	 [user: testMail] 	 [staff user: admin] [] 	 [Uncaught Error: 🖕] 	 [/Error: 🖕] 	 [1]
[2022-06-16 14:51:00] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-16 14:51:00] 	 [user: testMail] 	 [staff user: admin] [] 	 [Uncaught Error: 🖕] 	 [/Error: 🖕] 	 [1]
[2022-06-16 14:54:18] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-16 14:54:18] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-16 14:54:20] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-16 14:54:20] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
