[2022-05-25 12:51:16] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [ReferenceError: userid is not defined] 	 [/server/app.js] 	 [5665]
[2022-05-25 12:51:37] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: invalid input syntax for type integer: ""] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:53:37] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: invalid input syntax for type integer: ""] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 17:28:04] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: invalid input syntax for type date: "31/03"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 17:28:05] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: invalid input syntax for type date: "31/03"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 17:28:05] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: invalid input syntax for type date: "31/03"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 17:28:06] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: invalid input syntax for type date: "31/03"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 18:32:22] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [RangeError [ERR_HTTP_INVALID_STATUS_CODE]: Invalid status code: undefined] 	 [/] 	 [211]
[2022-05-25 18:32:22] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [RangeError [ERR_HTTP_INVALID_STATUS_CODE]: Invalid status code: undefined] 	 [/] 	 [211]
[2022-05-30 15:06:18] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-promotion] 	 [AssertionError [ERR_ASSERTION]: Error while inserting new promotion!] 	 [/server/app.js] 	 [5900]
[2022-05-30 18:37:08] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/] 	 [TypeError: Cannot read property 'split' of null] 	 [/server/app.js] 	 [6035]
[2022-05-31 14:26:51] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/shopcart?products=[]] 	 [ReferenceError: http is not defined] 	 [/server/app.js] 	 [1082]
